S.No,Validator Name,Column 1,January,February,March,April,May,June,July,August,September ,October,November,December,January,,Sum
1,Go,,29659.52164,28016.59792,26833.31488,25281.68187,21428.62493,19423.37647,18986.73002,18892.69747,18703.4656,23023.89579,24019.55923,24312.88766,25054.40848,,303636.762
2,Finoa Consensus Services,,49462.45668,49153.08267,43098.66476,41534.78026,37653.41503,36823.23031,31142.18132,33962.72804,35024.92695,29561.4719,26118.44215,29793.01334,26224.57947,,469552.9729
3,bitcoinsuisse.com,,499751.9345,460649.0128,428694.6703,411724.5089,350218.6836,319966.3095,330732.2435,332110.3772,314555.0078,309283.7093,322460.5946,323377.325,327664.1034,,4731188.48
4,Chorus One,,55772.73202,58085.67714,50798.13429,22745.42903,23499.05238,31084.12112,34368.68723,18996.32939,20455.02077,32292.44303,25704.57756,36840.02064,34210.02244,,444852.247
5,Unit 410,,77242.01905,69344.8774,63493.89714,60119.26926,50887.96658,46385.79135,45474.62766,45403.6243,42735.5914,41952.33251,32699.20725,3934.6744,4048.209464,,583722.0878
6,P2P.ORG,,29625.70478,29193.09842,25949.22802,12629.01246,22950.07023,9917.009763,18842.35664,10163.57696,10990.94777,11631.7367,14709.82854,12091.0029,11551.03544,,220244.6086
7,Coinbase,,59783.03072,89047.35184,29501.79028,24019.02058,47430.23269,31464.0226,52806.02205,74919.53275,26245.02115,45903.02033,64979.56431,36667.01882,56684.43989,,639450.068
8,CUCK.,,18292.01184,30965.01267,41986.01182,53400.01141,62705.00966,71523.00882,79778.00853,87943.00817,95950.00801,103575.0079,108909.0053,113158.0044,117171.004,,985355.1125
9,Figment,,18368.16271,17859.07436,23753.65942,16048.52764,12834.6405,11860.22302,22891.22302,22557.41887,15180.17126,15760.89461,14087.84823,12507.39621,11910.82653,,215620.0664
10,P-OPS Team,,9526.252386,8310.021059,15316.48241,19866.58958,20433.01254,31839.01141,42565.47964,12439.01117,26939.0145,40659.01418,55178.01452,69267.01455,84276.01501,,436614.933
11,Cosmostation,,13512.85479,10539.17583,6836.520482,8059.114665,9075.005763,15223.1899,6549.006019,12532.79434,8284.096769,9982.00565,15567.40096,5717.005403,9761.004043,,131639.1746
12,Twinstake,,15089.66469,14526.96749,13647.83331,13399.34691,13137.40487,12846.67472,12587.32584,12563.01789,10255.91362,9001.899173,7041.662548,6865.571968,7209.345845,,148172.6289
13,Binary Builders,,10558.00634,15874.47713,8585.004431,12879.64031,4485.003643,7769.003284,10837.00317,13994.00316,16953.00296,19758.0029,22520.00276,25019.3434,3330.721007,,172563.2145
14,Imperator.co,,11181.79893,11330.94901,6141.07066,9256.005406,14475.00539,19915.00544,25080.17999,9997.00533,15037.70715,7495.0049,11679.85861,6562.889907,2943.002327,,151095.4831
15,Nodes.Guru,,16763.067,18798.45159,14141.83534,13569.85935,15159.19738,13928.98224,12210.00721,19400.94207,11738.06625,10279.45517,11280.16941,9870.92346,11417.55566,,178558.5121
16,Staking Facilities,,15381.00849,22313.00693,28085.05431,10240.00599,16481.00643,23026.00655,29235.00642,35640.00641,41662.00602,47381.00591,53734.00635,59915.00639,64014.0041,,447107.1303
