S.No,Validator Name,Jan ,Feb,Mar,April,May,June ,July,August ,September,October,November,December
1,Twinstake,1607008.493,1535877.948,1704624.991,1623795.165,1657893.46,1625733.79,1692805.57,1697645.798,1633670.569,1539293.633,1425427.272,1558649.668
2,Coinbase,830134.5175,984575.1847,1053877.467,945394.1071,942650.2392,1135763.003,1195276.97,1200754.327,1169805.612,1079255.134,1172945.307,1371910.119
3,Luganodes,1720207.68,1720105.606,1765601.383,1649156.902,1664743.16,1653682.118,1683001.192,1675517.068,1649273.391,1521193.546,1136861.133,1173797.731
4,Binance Node,1771635.717,1646347.595,1719593.224,1662770.601,1668876.469,1692034.152,1715250.295,1718804.46,1643622.241,1544967.326,1110374.352,1115883.007
5,Matic Power,971129.342,865956.0667,934316.5309,886950.9912,899500.6496,904969.0418,942395.9614,898993.4268,929425.0718,851474.5908,770158.1039,798394.273
6,Upbit Staking,250600.2017,266391.9274,256178.7116,303596.0929,359277.6902,407555.8112,454616.6092,464013.6915,452536.2268,444588.3198,519905.3888,525080.884
7,Web3Nodes Validator 🌎 0% fee,902965.434,814853.7431,834393.7535,802964.8116,803732.5019,754858.3397,790180.9532,785412.6324,762924.2958,711927.0688,564681.2193,570810.0594
8,Figment,472388.1475,402310.4577,428730.8853,400908.1895,425718.5382,433749.8509,454297.8318,452285.1246,440754.8492,408423.9049,397430.157,405060.8331
9,Anonymous 94,536420.3222,527414.3795,514686.3838,528287.9082,551074.1354,463425.5394,515693.843,527954.6501,507262.418,457406.4403,421810.7949,440253.81
10,Anonymous 93,794017.3632,755409.3026,780875.6799,749979.1948,846763.3788,817288.0963,872188.6818,861455.438,805593.7561,746357.98,468635.8787,432453.4627
11,Kiln x Ownest 🔸 Pro Staking 🔸,352709.9461,345528.15,355612.4313,345561.5901,389919.4334,382405.3322,425907.9455,434111.9286,422150.828,395689.4313,383075.3167,417190.4725
12,Allnodes ⚡️ 0% fee,819906.2702,783041.5754,801047.5063,713809.6622,820025.0038,816618.2882,848039.6009,791436.4021,810260.9681,744140.082,404190.8623,354781.821
13,Stakin,486399.7586,446200.0734,489053.3984,511409.7002,520610.783,494480.9276,521419.4113,518126.5797,498157.4584,479939.8172,406228.5773,364957.9835
14,Everstake 0% fee,274883.9817,276687.7086,269249.5637,230165.1748,235572.277,243111.7441,259528.4432,271646.6606,265203.078,246506.8879,294887.2754,316934.0362
15,Vault Staking,640539.1396,592589.6468,572248.9406,529467.2071,556819.8739,479039.9722,507747.8054,485767.6312,484695.4378,455685.6734,319456.9906,308877.1273
16,Anonymous 91,267998.3429,265499.2672,262833.7462,262227.0274,271635.1651,271200.9472,281753.4678,289483.6779,284178.5045,246235.9927,278825.3157,306969.3017
