operator,name,totalStake,reward
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,36124778.2166197,5615.000000000000005600
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,34545983.541417874,40257.999999999999520498
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,33531965.431417607,1407.999999999999997440
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,28335811.871440347,684.000000000000000400
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25695144.13121407,1714.000000000000001004
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,14340648.51346427,2789.000000000000002100
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,13943408.668702126,2164.000000000000002146
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,13411105.511842294,47.000000000000000025
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,11896905.588414162,7791.000000000000007136
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,11642735.198341124,2766.000000000000001128
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,11589231.24911544,2781.000000000000000164
dymvaloper1hzcvcjmxts85rgk426x55czmscnzamdldr62h3,AndromedaPool,11521850.236235177,2806.000000000000002800
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,11351649.619763874,2751.000000000000000375
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,11166153.992983572,2632.000000000000001530
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,11162593.665622998,2751.999999999999999850
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,10734547.678315587,763.999999999999998310
dymvaloper1edyh6h0d8kyyv2lkgsdmxuf8qjv42lqf0zwpyc,Luganodes,10508718.253238063,2446.000000000000001713
dymvaloper15ck9au82yp6rz36gvfnx3w5zpgspguttuvw5z8,Keplr,8623949.836295793,5403.000000000000005286
